Order ID,Order Date,Customer ID,Product Name,Category,Sub-Category,Region,Country,City,Quantity,Unit Price,Discount (%),Total Sales,Profit,Shipping Cost,Order Priority,Sales Rep,Warehouse Code,Profit Margin (%)
O-2813,2024-10-04,C-5543,Identify Plus,Electronics,Phones,Europe,Germany,Jessicafort,4.0,367.44,0.11,1308.09,198.62,46.15,Low,Anita Johns,W1,15.18
O-8429,2025-04-06,C-8101,Work Plus,Apparel,Jackets,North America,Canada,Port John,18.0,756.97,0.1,12262.91,3424.05,15.12,Medium,Adam Arnold,W4,27.92
O-2728,2025-01-05,C-8719,Too Plus,Electronics,Tablets,Europe,UK,Toddmouth,4.0,985.21,0.15,3349.71,393.28,8.28,High,Richard Weaver,W4,11.74
O-3520,2025-05-25,C-9021,Others X,Electronics,Tablets,Europe,Germany,Crawfordstad,12.0,486.78,0.08,5374.05,559.16,21.12,Low,Jennifer Warner,W1,10.4
O-2524,2024-08-09,C-2678,Happy Plus,Apparel,Shoes,Europe,France,Jamesborough,17.0,339.98,0.15,4912.71,543.78,16.11,Medium,Andrea Johnson,W2,11.07
O-9093,2025-03-08,C-9815,Piece Plus,Electronics,Laptops,Europe,Germany,New Davidfurt,15.0,403.61,0.05,5751.44,1273.39,15.04,Medium,Nathan Peterson,W3,22.14
O-2421,2025-05-27,C-6993,Behind Plus,Apparel,Shirts,Asia,Japan,Nobleland,12.0,267.52,0.04,3081.83,866.97,19.23,Low,Katelyn Donovan,W2,28.13
O-9709,2024-11-10,C-5270,Those Pro,Electronics,Phones,North America,USA,West Kevinbury,10.0,387.48,0.22,3022.34,303.19,46.91,Medium,Derek Johnson,W3,10.03
O-2490,2025-04-01,C-4944,Most Pro,Electronics,Laptops,Asia,India,New Robert,2.0,658.42,0.3,921.79,162.58,30.59,Low,James Jones,W4,17.64
O-1148,2024-09-16,C-7539,Them Plus,Furniture,Tables,North America,USA,Port Jacobhaven,2.0,982.23,0.03,1905.53,326.65,19.03,Medium,Kenneth George,W3,17.14
O-9681,2024-09-08,C-5746,National Pro,Furniture,Chairs,North America,Canada,New Rhondaville,19.0,304.36,0.18,4741.93,790.93,37.31,Medium,Shelly Lopez DDS,W3,16.68
