Order ID,Order Date,Customer ID,Product Name,Category,Sub-Category,Region,Country,City,Quantity,Unit Price,Discount (%),Total Sales,Profit,Shipping Cost,Order Priority,Sales Rep,Warehouse Code,Profit Margin (%)
O-1001,2024-09-12,C-6223,Management Mini,Furniture,Chairs,Europe,Germany,West Andrewland,0.7894736842105263,103.0,0.0,1648.0,458.34,26.21,High,Mrs. Laura Pena,W4,27.81
O-1002,2025-04-09,C-3287,Light Plus,Apparel,Shoes,North America,USA,South Erinshire,0.8421052631578947,729.31,0.17,10290.56,1357.82,19.53,Low,Jeffrey Tyler,W4,13.19
O-1003,2024-09-05,C-4764,Really X,Electronics,Laptops,Asia,India,Jenniferland,0.631578947368421,50.28,0.13,568.67,75.0,38.65,Low,Mark Jenkins,W1,13.19
O-1004,2025-02-16,C-4864,Throughout X,Furniture,Chairs,Europe,Germany,Andreabury,0.736842105263158,764.58,0.02,11239.33,3339.92,19.69,High,Nicholas Banks,W2,29.72
O-1005,2025-01-09,C-3549,Every Mini,Apparel,Shirts,North America,Canada,New Randallstad,0.8421052631578947,227.91,0.21,3060.83,516.13,38.63,High,Ashley Cooper,W4,16.86
O-1006,2025-01-11,C-6089,That Pro,Furniture,Tables,Asia,India,East Carl,0.631578947368421,786.05,0.09,9298.97,2319.8,21.76,Low,Rachel Huerta,W3,24.95
O-1007,2025-02-12,C-9908,Who Pro,Apparel,Shoes,Asia,Japan,West Kevin,0.5263157894736843,898.67,0.03,9588.81,1216.54,35.97,High,William Terry,W2,12.69
O-1008,2024-11-28,C-9248,Most Plus,Electronics,Tablets,North America,Canada,New Sheri,0.05263157894736842,683.42,0.17,1134.48,245.53,14.97,High,Tina Bell,W1,21.64
O-1009,2025-05-17,C-3490,Figure X,Apparel,Shoes,North America,Canada,Port Veronica,0.8421052631578947,88.05,0.21,1182.51,315.0,17.68,Medium,Debbie Hahn,W1,26.64
O-1010,2025-03-24,C-4833,Indicate Pro,Electronics,Phones,Europe,Germany,South Ryanstad,0.21052631578947367,297.08,0.07,1381.42,352.68,31.62,Low,Sarah Buchanan,W4,25.53
O-1011,2025-01-26,C-2648,Ago Pro,Furniture,Chairs,Asia,Japan,North Brendamouth,0.894736842105263,187.88,0.15,2874.56,764.15,6.24,High,Cynthia Glass,W2,26.58
O-1012,2025-02-05,C-4230,Final Pro,Apparel,Jackets,Europe,UK,New Catherineport,0.631578947368421,648.07,0.05,8003.66,851.29,32.15,Medium,Luis Johnson,W1,10.64
O-1013,2024-07-26,C-9751,During Plus,Apparel,Shirts,Europe,Germany,Lake Scott,0.631578947368421,633.03,0.03,7982.51,1388.62,16.07,Low,Kendra Dunn,W3,17.4
O-1014,2025-02-15,C-9313,Product Pro,Furniture,Sofas,North America,Canada,East Jack,0.2631578947368421,886.79,0.07,4948.29,652.49,34.76,Low,Whitney Trujillo,W2,13.19
O-1015,2024-08-06,C-8413,Dog Pro,Apparel,Shoes,North America,Canada,South Michael,0.5789473684210527,854.19,0.18,8405.23,1422.2,40.37,Low,Deborah Thompson,W4,16.92
O-1016,2024-09-22,C-8058,Late Mini,Furniture,Sofas,Asia,China,West Tamifort,0.05263157894736842,604.18,0.19,978.77,256.97,14.91,Medium,Harry Hubbard Jr.,W4,26.25
O-1017,2025-01-24,C-6129,Knowledge Plus,Apparel,Shoes,Asia,China,Paigemouth,0.5789473684210527,716.72,0.26,6364.47,1064.5,42.97,High,Cynthia Williams,W3,16.73
O-1018,2024-08-26,C-3361,Every Pro,Furniture,Tables,Asia,China,Alejandroville,0.47368421052631576,359.33,0.25,2694.97,650.83,15.07,High,Mary Buckley,W3,24.15
O-1019,2025-05-19,C-1233,Doctor Plus,Apparel,Shirts,Europe,Germany,Lake John,0.15789473684210525,987.08,0.06,3711.42,427.08,23.69,Low,Daniel Thomas,W4,11.51
O-1020,2025-02-08,C-6812,Use Mini,Furniture,Tables,Asia,India,Port Jacquelineside,0.05263157894736842,346.24,0.15,588.61,71.18,12.73,Low,Debra Oliver,W1,12.09
O-1021,2024-08-17,C-4619,Game Pro,Electronics,Phones,North America,USA,Kimville,0.736842105263158,766.86,0.09,10467.64,2197.27,34.64,High,Lynn Noble,W2,20.99
O-1022,2024-12-10,C-4908,Relationship X,Electronics,Phones,Europe,Germany,North Richard,0.7894736842105263,602.27,0.24,7323.6,1647.36,34.8,Medium,Nicole Wright,W1,22.49
O-1023,2025-05-31,C-5524,Tree Pro,Furniture,Tables,Asia,China,Stevensonland,0.631578947368421,265.05,0.24,2618.69,419.97,45.04,Medium,Michael Newton,W4,16.04
O-1024,2024-07-28,C-9759,Best Mini,Apparel,Jackets,Asia,India,New Courtneystad,0.3157894736842105,872.88,0.23,4704.82,1138.62,48.8,Medium,Mark Beasley,W3,24.2
O-1025,2024-10-06,C-3952,Hour Pro,Furniture,Sofas,Asia,India,Jennifertown,0.05263157894736842,284.75,0.19,461.3,53.4,38.94,Medium,Nicole Grant,W2,11.58
O-1026,2025-05-14,C-7195,Similar X,Apparel,Shirts,Asia,India,Paulborough,0.15789473684210525,400.74,0.17,1330.46,298.38,28.01,Low,Natasha Shields,W1,22.43
