Order ID,Order Date,Customer ID,Product Name,Category,Sub-Category,Region,Country,City,Quantity,Unit Price,Discount (%),Total Sales,Profit,Shipping Cost,Order Priority,Sales Rep,Warehouse Code
O-6357,2025-04-20,C-7558,Station Plus,Furniture,,Europe,UK,East Francis,3.0,713.58,0.07,1990.89,240.26,,Medium,,W3
O-3416,2025-07-08,C-7455,Be X,Electronics,Laptops,North America,USA,,10.0,495.91,0.3,3471.37,527.88,26.11,Medium,Kimberly Pitts MD,W2
,2024-10-29,C-4404,Inside Plus,Apparel,Shoes,Asia,Japan,Port Sharon,1.0,732.14,0.17,607.68,95.59,46.61,High,Mathew Campbell,W2
O-2813,2024-10-04,C-5543,Identify Plus,Electronics,Phones,Europe,Germany,Jessicafort,4.0,367.44,0.11,1308.09,198.62,46.15,Low,Anita Johns,W1
O-9012,,C-8867,War Pro,Apparel,Jackets,Europe,UK,Michaelborough,18.0,703.11,,12655.98,3519.56,22.85,Low,Alexis Rosales,W1
O-8429,2025-04-06,C-8101,Work Plus,Apparel,Jackets,North America,Canada,Port John,18.0,756.97,0.1,12262.91,3424.05,15.12,Medium,Adam Arnold,W4
O-2798,2025-05-25,C-9114,Nor Plus,Apparel,Jackets,Europe,Germany,Christopherside,,841.28,0.2,673.02,105.19,15.35,High,,W2
O-8514,,C-5399,Half Mini,Apparel,Shirts,North America,USA,East Danieltown,16.0,222.68,0.21,2814.68,667.04,47.94,High,Vernon Patton,W2
,2025-03-13,C-7566,Current Pro,Electronics,Tablets,Asia,Japan,,12.0,590.43,0.11,6305.79,840.65,,,Heidi Stanley,
O-1990,2024-10-07,C-2148,Available Plus,Apparel,Shirts,Europe,UK,,1.0,101.38,0.12,89.21,18.11,25.05,Medium,Regina Guerrero,W1
O-2055,2024-11-23,C-9835,Star Plus,Electronics,Phones,Europe,Germany,,,,0.26,0.0,0.0,28.88,High,Karen Johnson,W2
O-2873,2024-11-25,C-5594,Center Plus,Furniture,Sofas,North America,USA,East Jill,20.0,187.39,0.19,3035.72,557.37,34.12,Low,Angel Peterson,
O-1859,,C-1587,Visit X,,Shirts,Europe,UK,,16.0,359.58,0.25,4314.96,681.46,7.81,Medium,Kathleen Campbell,W3
O-5628,2025-07-23,C-2251,Standard Mini,Furniture,Chairs,North America,USA,West Mollymouth,,137.29,,137.29,33.24,47.21,High,Paul Morgan,W2
O-4478,2025-06-24,C-2908,Start Pro,Electronics,Tablets,Asia,Japan,North Richard,14.0,791.83,0.1,9977.06,2239.84,27.19,Low,Tiffany Rowe,
O-5034,2025-07-20,C-4950,Establish Plus,Electronics,Tablets,Europe,France,Danielborough,9.0,804.25,0.18,5935.37,719.6,,Medium,Jill Joyce,W2
O-2728,2025-01-05,C-8719,Too Plus,Electronics,Tablets,Europe,UK,Toddmouth,4.0,985.21,0.15,3349.71,393.28,8.28,High,Richard Weaver,W4
