Order ID,Order Date,Customer ID,Product Name,Category,Sub-Category,Region,Country,City,Quantity,Unit Price,Discount (%),Total Sales,Profit,Shipping Cost,Order Priority,Sales Rep,Warehouse Code
O-100001,2024-12-31,C-4510,Condition Pro,Furniture,Tables,North America,Canada,Vincenthaven,4,383.32,0.15,1303.29,,35.44,,,
O-100002,2024-10-17,C-8512,Character Pro,Furniture,Chairs,Asia,Japan,East Daniel,9,311.35,,2802.15,,,,,
O-100003,2025-04-12,C-9195,Worker Pro,Apparel,Shoes,North America,Canada,Allenport,8,867.38,,6939.04,,49.24,,,
O-100004,2024-08-08,C-7589,Address Pro,Electronics,Tablets,North America,Canada,Sydneychester,16,396.93,,6350.88,783.7,,,,
O-100005,2024-09-02,C-9484,Ago X,Electronics,Laptops,North America,Canada,South Samantha,16,330.64,,5290.24,,,,Victoria Brooks,
O-100006,2024-09-30,C-6214,Believe X,Furniture,Chairs,North America,Canada,North Jimmy,16,553.03,,8848.48,,,,,
O-100007,2025-02-16,C-3160,Small X,Apparel,Jackets,Europe,Germany,Port James,19,59.57,,1131.83,,,,,
O-100008,2025-02-16,C-9313,Amount Mini,Electronics,Phones,Europe,France,Daughertyborough,12,909.73,,10916.76,,,,,
O-100009,2024-10-15,C-3312,Production X,Furniture,Chairs,Europe,Germany,South Nicholas,4,36.03,,144.12,19.51,,,,
O-100010,2024-08-13,C-2778,High Pro,Electronics,Tablets,North America,USA,Port Ashley,11,274.99,,3024.89,531.71,,,,
O-100011,2024-10-14,C-5995,Alone Plus,Electronics,Phones,North America,Canada,Scottbury,18,74.85,,1347.3,,,,,
O-100012,2025-06-08,C-1044,Government Mini,Electronics,Laptops,North America,Canada,East Michele,20,964.57,,19291.4,,9.21,,,W1
O-100013,2025-06-02,C-9196,Matter Plus,Furniture,Sofas,Asia,China,South Adrienneberg,12,135.29,0.25,1217.61,,33.05,,,
O-100014,2024-08-20,C-3643,Job Plus,Electronics,Phones,North America,USA,West Ashleystad,20,343.85,,6877.0,,,High,Stephen Fletcher,W2
O-100015,2025-03-12,C-4085,Such Plus,Apparel,Shirts,North America,USA,Mooneyfort,19,158.81,,3017.39,,,,Adam Schmitt,
O-100016,2024-08-26,C-6195,To Pro,Furniture,Chairs,Europe,UK,West Steven,4,37.28,0.13,129.73,20.39,,,,
O-100017,2024-12-11,C-2636,Yard Pro,Furniture,Chairs,Europe,France,Juliebury,19,729.69,,13864.11,,,,,
O-100018,2025-01-26,C-5387,Child X,Apparel,Shoes,North America,Canada,East Christybury,13,236.6,,3075.8,,,,,
O-100019,2025-05-29,C-3297,Newspaper Plus,Apparel,Jackets,Asia,India,Port Scott,11,936.61,,10302.71,,,,,
O-100020,2025-06-24,C-1948,Particularly Pro,Furniture,Sofas,Asia,India,Carlstad,1,555.95,,555.95,143.41,,,,
O-100021,2025-05-29,C-3029,Remain X,Furniture,Tables,Europe,UK,New Dannyside,12,797.12,,9565.44,1229.45,,,,W1
O-100022,2024-08-22,C-2273,Energy Mini,Electronics,Phones,Asia,Japan,Lake Michaelchester,3,852.45,,2557.35,658.06,,,,
O-100023,2025-03-05,C-8533,Actually X,Furniture,Tables,North America,Canada,Curtischester,5,110.74,,553.7,,,,,
O-100024,2025-04-04,C-6632,Show Mini,Electronics,Laptops,North America,USA,East Zacharyville,18,337.53,,6075.54,1459.4,,,,
